id,jurisd_osm_id,ctype,pack_id,fhash,fname,fversion,is_valid,fmeta,config,ingest_instant
5234,298285,edificacoes,35,6d32bcbba5488de7109949980cf67fcdd77c4732b4767664b7afd4734dedb0ba,SHP_edificacao_ANHANGUERA.zip,1,t,"{""ext"": ""zip"", ""size"": 4031115, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:43:30+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5235,298285,edificacoes,35,2ecd4061720c09d1630be2bd837a16b0c38f033e1192de77b00dd58fa2a7088a,SHP_edificacao_ARICANDUVA.zip,1,t,"{""ext"": ""zip"", ""size"": 8115995, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:44:55+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5236,298285,edificacoes,35,d083dbf6219c9cbc41813232c865b4ab999afb81614a3f7ea0a5dfd46ff767da,SHP_edificacao_ARTUR_ALVIM.zip,1,t,"{""ext"": ""zip"", ""size"": 6318916, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:45:48+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5237,298285,edificacoes,35,f135ab79a99d03bf4be8807fa1ff9b04c72b2fa4db8137439c06af5755b25213,SHP_edificacao_BARRA_FUNDA.zip,1,t,"{""ext"": ""zip"", ""size"": 1327758, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:46:00+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5238,298285,edificacoes,35,798c78e2aa8ec22b5c8cb882f11ee3a10f89f9bb994c5a044b1441732f1f54af,SHP_edificacao_BELA_VISTA.zip,1,t,"{""ext"": ""zip"", ""size"": 1813668, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:46:17+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5239,298285,edificacoes,35,89c904a7c08162f77465e3ccf4bef9ac990d7a8c69fbb45ea2339f8de6352fa6,SHP_edificacao_BELEM.zip,1,t,"{""ext"": ""zip"", ""size"": 3535333, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:46:46+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5240,298285,edificacoes,35,ef4b902410fdcab26e5ce4354b0aa3ba0c2c27b7755b8302170de8b12e934ddb,SHP_edificacao_BOM_RETIRO.zip,1,t,"{""ext"": ""zip"", ""size"": 2100046, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:47:05+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5241,298285,edificacoes,35,803a720e3070b12affd44e812b0d052389c09f534e4856302cab6dd86be18f66,SHP_edificacao_BRASILANDIA.zip,1,t,"{""ext"": ""zip"", ""size"": 12836409, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:49:07+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5242,298285,edificacoes,35,e408aa5073da2982a11f5ec0868c2387d80b028787fa9fbb296004faf58305b3,SHP_edificacao_BRAS.zip,1,t,"{""ext"": ""zip"", ""size"": 1712159, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:47:21+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5243,298285,edificacoes,35,3fba7d6620c833a52565d27ff1d3f3f768cc03835316b8d130c281caa4fa5fca,SHP_edificacao_BUTANTA.zip,1,t,"{""ext"": ""zip"", ""size"": 5488188, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:49:54+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
