HouseNumber,SRID_29193
EMPLACAMENTO PREVISTO,POINT (349323.511961 7347608.632582)
P/ AV. LILIAN F. LACERDA,POINT (349295.526744 7347579.230474)
EMPLACAMENTO PREVISTO,POINT (349296.028016 7347579.419819)
P/ AV. LILIAN F. LACERDA,POINT (349302.369084 7347587.143861)
EMPLACAMENTO PREVISTO,POINT (349302.870356 7347587.333206)
P/ AV. LILIAN F. LACERDA,POINT (349308.700178 7347593.716481)
EMPLACAMENTO PREVISTO,POINT (349309.201450 7347593.905826)
P/ AV. LILIAN F. LACERDA,POINT (349315.801680 7347601.399340)
EMPLACAMENTO PREVISTO,POINT (349316.302952 7347601.588684)
7901,POINT (349380.887044 7347667.483048)
0141,POINT (349358.496597 7347443.841667)
0111,POINT (349336.567339 7347462.048900)
0131,POINT (349352.019951 7347449.351783)
0191,POINT (349398.378826 7347411.261696)
0171,POINT (349382.925954 7347423.958497)
0151,POINT (349367.473083 7347436.655298)
0181,POINT (349390.652390 7347417.610096)
0121,POINT (349344.293775 7347455.700499)
0161,POINT (349375.199518 7347430.306897)
0190,POINT (349430.378656 7347449.667394)
0180,POINT (349422.437258 7347455.354345)
0170,POINT (349414.861002 7347462.401720)
0160,POINT (349406.768381 7347468.602776)
0150,POINT (349399.130635 7347475.300843)
0140,POINT (349391.543468 7347481.837708)
0110,POINT (349368.467608 7347500.893370)
0130,POINT (349383.920220 7347488.196252)
0120,POINT (349376.194044 7347494.544969)
0189,POINT (349312.262881 7347481.760788)
0179,POINT (349318.622554 7347489.278310)
0169,POINT (349324.097899 7347497.205141)
0159,POINT (349330.651664 7347504.643677)
0149,POINT (349336.675579 7347512.319202)
0139,POINT (349343.577706 7347519.626758)
8201,POINT (349170.038755 7347440.666353)
8191,POINT (349176.773870 7347446.358013)
8121,POINT (349218.431728 7347501.995530)
8111,POINT (349225.660488 7347509.215632)
8101,POINT (349233.992832 7347516.929943)
Nº 8081,POINT (349250.052704 7347530.403664)
8071,POINT (349253.477289 7347538.809580)
8061,POINT (349260.711466 7347546.141280)
8051,POINT (349267.093985 7347553.113361)
8041,POINT (349274.649733 7347559.875288)
8031,POINT (349281.586287 7347566.842816)
8011,POINT (349296.490743 7347580.410269)
8001,POINT (349303.474263 7347588.443758)
7991,POINT (349310.037370 7347595.102725)
7981,POINT (349317.231096 7347602.503008)
7971,POINT (349324.109513 7347609.795182)
7961,POINT (349330.147105 7347616.562257)
7941,POINT (349352.151621 7347638.665773)
7921,POINT (349364.080827 7347651.358222)
PREVISTO,POINT (349838.870477 7348077.831928)
EMPLACAMENTO ,POINT (349842.593308 7348079.986977)
7911,POINT (349372.325585 7347659.759795)
7401,POINT (349755.640711 7348008.326295)
7391,POINT (349761.863766 7348014.703101)
7301,POINT (349823.254833 7348082.007709)
7291,POINT (349829.479599 7348088.386275)
7201,POINT (349892.817399 7348154.876305)
7191,POINT (349899.140493 7348161.469070)
7101,POINT (349962.390278 7348227.378225)
7091,POINT (349968.614208 7348233.755892)
7001,POINT (350039.592978 7348292.414435)
6991,POINT (350045.816908 7348298.792102)
6901,POINT (350111.147561 7348364.524886)
6891,POINT (350117.371491 7348370.902554)
6801,POINT (350173.708883 7348437.014228)
6791,POINT (350179.932813 7348443.391895)
6701,POINT (350241.011234 7348520.197141)
6691,POINT (350245.207237 7348528.058788)
6601,POINT (350287.533920 7348609.302516)
6591,POINT (350291.729924 7348617.164164)
6501,POINT (350322.494556 7348704.236044)
6491,POINT (350325.722092 7348712.542364)
6401,POINT (350353.833674 7348799.677902)
6391,POINT (350357.060743 7348807.983087)
6301,POINT (350386.739261 7348893.635469)
6291,POINT (350389.967214 7348901.942944)
6201,POINT (350419.584041 7348988.091575)
6191,POINT (350422.811577 7348996.397895)
6101,POINT (350451.970920 7349082.702024)
6091,POINT (350455.198457 7349091.008344)
6001,POINT (350484.206212 7349177.363997)
5991,POINT (350487.433748 7349185.670317)
5901,POINT (350516.057251 7349272.156577)
5891,POINT (350519.284788 7349280.462897)
5801,POINT (350547.512582 7349367.083658)
5791,POINT (350550.740118 7349375.389978)
5701,POINT (350581.789494 7349461.051688)
5691,POINT (350585.017030 7349469.358008)
5601,POINT (350614.195879 7349555.655507)
5591,POINT (350617.423416 7349563.961827)
5501,POINT (350647.754152 7349649.867801)
5491,POINT (350650.981688 7349658.174121)
5401,POINT (350680.606594 7349744.320006)
5391,POINT (350683.833663 7349752.625190)
5301,POINT (350715.782450 7349838.042593)
5291,POINT (350719.010403 7349846.350068)
5191,POINT (350758.210428 7349939.113755)
5201,POINT (350754.887900 7349929.756449)
0217,POINT (349750.966825 7346005.513814)
PREVISTO,POINT (350137.536192 7348381.347730)
EMPLACAMENTO ,POINT (350141.259024 7348383.502779)
PREVISTO,POINT (350082.259390 7348338.391228)
EMPLACAMENTO ,POINT (350085.291144 7348339.967705)
PREVISTO,POINT (350021.870472 7348269.619328)
EMPLACAMENTO ,POINT (350025.593303 7348271.774377)
PREVISTO,POINT (349981.714411 7348229.077381)
EMPLACAMENTO ,POINT (349985.437242 7348231.232430)
PREVISTO,POINT (349771.896627 7348019.040737)
EMPLACAMENTO ,POINT (349775.619458 7348021.195785)
PREVISTO,POINT (349868.982527 7348121.324996)
EMPLACAMENTO ,POINT (349872.705358 7348123.480045)
PREVISTO,POINT (349887.532868 7348143.817181)
EMPLACAMENTO ,POINT (349891.255699 7348145.972230)
PREVISTO,POINT (349935.046568 7348183.765770)
Nº 6861,POINT (350143.249588 7348387.410252)
Nº 6931,POINT (350088.824940 7348343.387884)
Nº 7021,POINT (350028.993300 7348275.379045)
Nº 7081,POINT (349987.114834 7348236.009673)
EMPLACAMENTO ,POINT (349938.769399 7348185.920819)
Nº 7141,POINT (349941.298847 7348189.733730)
Nº 7231,POINT (349874.700606 7348127.051649)
Nº 7371,POINT (349778.006186 7348025.078969)
sugerida,POINT (348241.894719 7345686.395472)
numeração,POINT (348240.866014 7345686.936560)
0301,POINT (350155.845503 7345945.976777)
0271,POINT (350144.846554 7345979.922954)
0261,POINT (350141.830936 7345986.796450)
0231,POINT (350131.400899 7346015.168425)
0241,POINT (350134.740510 7346005.705178)
0251,POINT (350138.274184 7345996.372990)
0221,POINT (350128.783561 7346023.949205)
0230,POINT (350109.865498 7346007.401509)
0240,POINT (350113.765813 7345996.966577)
0250,POINT (350117.666276 7345988.061793)
0220,POINT (350105.546966 7346015.332714)
0344,POINT (350147.435410 7345902.146909)
0334,POINT (350146.825943 7345910.236961)
0324,POINT (350143.397625 7345919.061368)
0294,POINT (350132.314684 7345945.988342)
EMPLACAMENTO PREVISTO,POINT (350403.277078 7348922.729330)
Nº 6271,POINT (350403.982870 7348926.149938)
5111,POINT (350783.847615 7350017.102803)
1641,POINT (350522.831599 7346519.697644)
4850,POINT (350862.759628 7350612.556446)
